"permission_realm_id:lookup(api.permission_realm,id,name)"|"category"|"name"|"description"
"haii-thaiwater30"|"srv"|"uac"|"admin"
"haii-thaiwater30"|"user"|"Admin"|"Admin Full Access"
"haii-thaiwater30"|"srv"|"shopping"|"shopping"
"haii-thaiwater30"|"srv"|"Event_Management"|"ผู้ใช้ใช้งานจัดการเหตุการณ์"
"haii-thaiwater30"|"user"|"event-mgmt-user"|"ทดสอบจัดการเหตุการณ์"
"haii-thaiwater30"|"srv"|"Data_menagement"|"บริหารจัดการข้อมูล"
"haii-thaiwater30"|"user"|"CimSystemThailand Test"|"กลุ่มผู้พัฒนาจากบริษัท Cim System Test"
"haii-thaiwater30"|"user"|"Test Email"|"ทดสอบการใช้งานรูปแบบการแจ้งเตือนทางเมล"
"haii-thaiwater30"|"user"|"CimSystem2Thailand Test II"|"Test Cache"
"haii-thaiwater30"|"srv"|"realm.backoffice"|"ระบบสนับสนุนการบริหารการทำงาน"
"haii-thaiwater30"|"srv"|"realm.systemreport"|"ระบบติดตาม วิเคราะห์และรายงานสถานการณ์น้ำ"
"haii-thaiwater30"|"srv"|"realm.analyst"|"ระบบแสดงผลข้อมูล"
"haii-thaiwater30"|"srv"|"realm.uac"|"บริหารจัดการสิทธิ์"
"haii-thaiwater30"|"srv"|"realm.agency"|"หน่วยงานภายนอก"
"haii-thaiwater30"|"srv"|"backoffice.tools.mgmt_cache"|"เมนูบริหารจัดการ Cache"
"haii-thaiwater30"|"srv"|"bof.tools"|"โมดูแสดงผลข้อมูล"
"haii-thaiwater30"|"srv"|"backoffice.tools.mgmt_display"|"เมนูการตั้งค่าหน้าแสดงผล"
"haii-thaiwater30"|"srv"|"backoffice.tools.ignore_data"|"เมนู Ignore สถานีที่มีข้อมูลผิดปกติ"
"haii-thaiwater30"|"srv"|"backoffice.tools.check_image"|"ตรวจสอบรูปภาพ"
"haii-thaiwater30"|"srv"|"bof.data_integration_report"|"โมดูล รายงานระบบนำเข้าข้อมูล"
"haii-thaiwater30"|"srv"|"backoffice.data_integration.mgmt_script"|"เมนู ตั้งค่าการ download"
"haii-thaiwater30"|"srv"|"backoffice.data_integration.mgmt_conv"|"เมนู ตั้งค่า dataset"
"haii-thaiwater30"|"srv"|"backoffice.data_integration.mgmt_metadata"|"เมนู ตั้งค่าการเชื่อมโยง"
"haii-thaiwater30"|"srv"|"backoffice.data_integration.hi_script"|"เมนู ประวัติการรัน Script"
"haii-thaiwater30"|"srv"|"backoffice.data_integration.mgmt_script_rain"|"เมนู ตั้งค่าการ download สำหรับคำนวณฝน"
"haii-thaiwater30"|"srv"|"backoffice.data_integration.mgmt_conv_rain"|"เมนู ตั้งค่า dataset สำหรับคำนวณฝน"
"haii-thaiwater30"|"srv"|"backoffice.data_integration.mgmt_metadata_rain"|"เมนู ตั้งค่าการเชื่อมโยง สำหรับคำนวณฝน"
