"permission_group_id:lookup_permission_group()"|"permission_subgroup_id:lookup_permission_group()"
"haii-thaiwater30.CimSystem2Thailand Test II"|"haii-thaiwater30.shopping"
"haii-thaiwater30.ทดสอบ"|"haii-thaiwater30.agc.agency"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.dsr.data_service_to_agency"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.dsr.data_service_upload_result"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_log_sink_method_type"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_mail"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_method"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_mgmt_email_sever"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_notification"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_subtype"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_target"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_type"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.sink_condition"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.agency"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.backoffice.method"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.category"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.data_format"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.department"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.frequency"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.hydroinfo"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.metadata"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.metadata"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.metadata_status"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.ministry"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.service_method"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.แสดงผลข้อมูล"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.agency"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.mgmt_script"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.mgmt_script_rain"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.apis.key_access_mgmt"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.apis.monitor"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.apis"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.dba"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dba.delete_data"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.metadata"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.agency"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.category"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.data_format"
"haii-thaiwater30.Admin"|"haii-thaiwater30.TEST2"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.apis.monitor_api_service"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.evmgmt.event_subtype"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.evmgmt.event_target"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.evmgmt.event_type"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.evmgmt.sink_condition"
"haii-thaiwater30.Admin"|"haii-thaiwater30.Event_Management"
