"service_version_id:lookup(api.service_version,id,name)"|"service_module_id:lookup(api.service_module,id,name)"|"service_method_id:lookup(api.lt_service_method,id,name)"|"service_auth_type_id:lookup(api.lt_service_auth_type,id,name)"|"name"|"url"|"description"
"v1"|"auth"|"GET"|"NOAUTH"|"resetpassword"|""|""
"v1"|"auth"|"GET"|"ALLUSER"|"profile-image"|""|""
"v1"|"auth"|"GET"|"NOAUTH"|"account-info"|""|""
"v1"|"auth"|"POST"|"NOAUTH"|"logout"|""|""
"v1"|"auth"|"POST"|"NOAUTH"|"login"|""|""
"v1"|"auth"|"POST"|"NOAUTH"|"resetpassword"|""|""
"v1"|"auth"|"PUT"|"ALLUSER"|"profile"|""|""
"v1"|"user"|"POST"|"STD"|"user"|""|""
"v1"|"user"|"DELETE"|"STD"|"profile"|"{id}/profile"|""
"v1"|"user"|"PATCH"|"STD"|""|"{id}"|""
"v1"|"dataimport"|"GET"|"STD"|"download"|"download/{download_id}/{data_name}"|""
"v1"|"dataimport"|"GET"|"STD"|"dataset/lookup"|"dataset/{dataset_id}/lookup/{table_name}"|""
"v1"|"dataimport"|"GET"|"STD"|"download/setting"|"download/{download_id}/setting"|""
"v1"|"dataimport"|"GET"|"STD"|"download/uploadfiles"|"download/uploadfiles"|""
"v1"|"dataimport"|"GET"|"STD"|"rdl"|"rdl/{node_id}/{data_name}"|""
"v1"|"dataimport"|"GET"|"STD"|"dataset"|"dataset/{dataset_id}/{step}/{data_name}"|""
"v1"|"dataimport"|"POST"|"STD"|"rdl"|"rdl/{node_id}/{data_name}"|""
"v1"|"dataimport"|"POST"|"STD"|"download/addjob"|"download/{download_id}/addjob"|""
"v1"|"dataimport"|"POST"|"STD"|"dataset/dequeue"|"dataset/{dataset_id}/{step}/dequeue/{dataset_log_id}"|""
"v1"|"dataimport"|"POST"|"STD"|"download/uploadfile"|"download/{download_id}/uploadfile"|""
"v1"|"dataimport"|"POST"|"STD"|"dataset/importdata"|"dataset/{dataset_id}/{dataset_log_id}/importdata"|""
"v1"|"dataimport"|"POST"|"STD"|"download/qmgr"|"download/{download_id}/qmgr"|""
"v1"|"dataimport"|"PUT"|"STD"|"dataset/status"|"dataset/{dataset_id}/{dataset_log_id}/{step}/status"|""
"v1"|"dataimport"|"DELETE"|"STD"|"rdl"|"rdl/{node_id}/{data_name}"|""
"v1"|"thaiwater30"|"GET"|"STD"|"backoffice/dba"|"backoffice/dba/{service}"|""
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"frontend/shared"|"frontend/shared/{service}/{id}"|""
"v1"|"thaiwater30"|"GET"|"STD"|"data_service"|"data_service/{service}"|"frontend data_service"
"v1"|"thaiwater30"|"GET"|"STD"|"backoffice/dataimport_config"|"backoffice/dataimport_config/{service}/{id}"|""
"v1"|"thaiwater30"|"GET"|"STD"|"backoffice/data_integration_report"|"backoffice/data_integration_report/{service}"|""
"v1"|"thaiwater30"|"GET"|"STD"|"agency"|"agency/{service}"|""
"v1"|"thaiwater30"|"GET"|"STD"|"backoffice/dataimport_config_migrate"|"backoffice/dataimport_config_migrate/{service}/{id}"|""
"v1"|"thaiwater30"|"GET"|"STD"|"backoffice/metadata"|"backoffice/metadata/{service}/{id}"|""
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"manipulate"|"manipulate/{service}/{id}"|""
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"backoffice/api"|"backoffice/api/{service}/{id}"|""
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"guest"|"guest/{service}"|""
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"iframe"|"iframe/{service}/{id}"|""
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"public"|"public/{service}"|""
"v1"|"thaiwater30"|"GET"|"STD"|"shared"|"shared/{service}"|""
"v1"|"thaiwater30"|"GET"|"STD"|"backoffice/tool"|"backoffice/tool/{service}"|""
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"api_service"|"api_service"|""
"v1"|"thaiwater30"|"GET"|"STD"|"backoffice/data_management"|"backoffice/data_management/{service}/{id}"|""
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"backoffice/dashboard"|"backoffice/dashboard/{service}"|""
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"shared/image"|"shared/image"|""
"v1"|"thaiwater30"|"GET"|"STD"|"backoffice/event_management"|"backoffice/event_management/{service}/{id}"|""
"v1"|"thaiwater30"|"GET"|"STD"|"analyst"|"analyst/{service}/{id}"|"โมดูลเขื่อน ของระบบแสดงผลสำหรับผู้วิเคราะห์"
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"shared/file"|"shared/file"|""
"v1"|"thaiwater30"|"GET"|"STD"|"backoffice/data_service"|"backoffice/data_service/{service}"|"backoffice data service"
"v1"|"thaiwater30"|"GET"|"NOAUTH"|"shared/api_service"|"shared/api_service/{id}"|""
"v1"|"thaiwater30"|"POST"|"STD"|"backoffice/dataimport_config"|"backoffice/dataimport_config/{service}"|""
"v1"|"thaiwater30"|"POST"|"STD"|"backoffice/dba"|"backoffice/dba/{service}"|""
"v1"|"thaiwater30"|"POST"|"STD"|"backoffice/event_management"|"backoffice/event_management/{service}"|""
"v1"|"thaiwater30"|"POST"|"STD"|"data_service"|"data_service/{service}"|"frontend data_service"
"v1"|"thaiwater30"|"POST"|"NOAUTH"|"backoffice/api"|"backoffice/api/{service}"|""
